north-carolina,10,Seventh Woods,34,1,10.8,0.9,2.2,.419,0.8,1.9,.422,0.1,0.3,.400,0.5,0.8,.643,0.1,0.9,1.0,2.1,0.9,0.1,1.5,1.1,2.5,
north-carolina,11,Brandon Huffman,27,0,2.5,0.5,0.8,.591,0.5,0.8,.591,0.0,0.0,,0.2,0.4,.417,0.4,0.5,0.9,0.1,0.1,0.1,0.0,0.3,1.1,
north-carolina,12,Andrew Platek,32,0,3.7,0.4,0.9,.467,0.3,0.5,.600,0.2,0.5,.333,0.1,0.1,.500,0.1,0.2,0.3,0.2,0.2,0.1,0.2,0.5,1.1,
north-carolina,13,K.J. Smith,22,0,1.8,0.3,0.7,.467,0.2,0.4,.500,0.1,0.3,.429,0.2,0.2,.800,0.0,0.1,0.1,0.3,0.0,0.0,0.1,0.1,1.0,
north-carolina,14,Walker Miller,19,0,1.6,0.4,0.6,.583,0.4,0.6,.583,0.0,0.0,,0.1,0.3,.400,0.1,0.3,0.4,0.1,0.1,0.1,0.1,0.1,0.8,
north-carolina,15,Caleb Ellis,19,0,1.5,0.2,0.3,.667,0.2,0.3,.600,0.1,0.1,1.000,0.1,0.2,.333,0.1,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.5,
north-carolina,16,Shea Rush,19,0,1.4,0.0,0.4,.000,0.0,0.3,.000,0.0,0.1,.000,0.1,0.3,.400,0.2,0.2,0.3,0.1,0.1,0.0,0.2,0.2,0.1,
gonzaga,1,Rui Hachimura,37,37,30.2,7.4,12.6,.591,7.0,11.6,.606,0.4,1.0,.417,4.4,6.0,.739,1.4,5.1,6.5,1.5,0.9,0.7,1.8,2.0,19.7,
gonzaga,2,Brandon Clarke,37,36,28.1,6.9,10.1,.687,6.8,9.7,.705,0.1,0.4,.267,2.9,4.2,.694,3.1,5.5,8.6,1.9,1.2,3.2,1.5,2.1,16.9,
gonzaga,3,Zach Norvell Jr.,37,36,30.7,4.9,11.3,.434,2.3,4.2,.541,2.6,7.1,.370,2.5,2.8,.867,0.8,3.5,4.3,3.1,1.3,0.1,1.4,1.8,14.9,
