michigan-state,Kyle Ahrens,0,JR,G,6-6,210,Versailles, OH,Versailles HS,, 4.7 Pts, 2.5 Reb, 1.0 Ast,
michigan-state,Gabe Brown,13,FR,F,6-7,210,Ypsilanti, MI,Belleville HS,100 (2018), 2.3 Pts, 1.2 Reb, 0.1 Ast,
michigan-state,Foster Loyer,3,FR,G,6-0,170,Clarkston, MI,Clarkston HS,77 (2018), 1.6 Pts, 0.4 Reb, 0.9 Ast,
michigan-state,Thomas Kithier,15,FR,F,6-8,225,Clarkston, MI,Clarkston HS,, 1.6 Pts, 1.3 Reb, 0.2 Ast,
michigan-state,Marcus Bingham,30,FR,F,6-11,215,Grand Rapids, MI,Catholic Central HS,62 (2018), 1.0 Pts, 1.1 Reb, 0.3 Ast,
michigan-state,Conner George,41,JR,G,6-4,200,Okemos, MI,Okemos High School,, 0.6 Pts, 0.5 Reb, 0.1 Ast,
michigan-state,Jack Hoiberg,10,FR,G,5-11,175,Burr Ridge, IL,Hinsdale Central HS,, 0.7 Pts, 0.1 Reb, 0.2 Ast,
michigan-state,Braden Burke,40,SO,F,6-11,235,Stevensville, MI,Lakeshore High School,, 0.6 Pts, 0.3 Reb, 0.0 Ast,
michigan-state,Brock Washington,14,FR,G,6-4,185,Southfield, MI,Southfield Christian HS,, 0.4 Pts, 0.3 Reb, 0.0 Ast,
kentucky,PJ Washington,25,SO,F,6-8,228,Dallas, TX,Findlay College Prep,14 (2017), 15.2 Pts, 7.5 Reb, 1.8 Ast,
kentucky,Tyler Herro,14,FR,G,6-5,195,Milwaukee, WI,Whitnall HS,35 (2018), 14.0 Pts, 4.5 Reb, 2.5 Ast,
kentucky,Keldon Johnson,3,FR,G,6-6,211,South Hill, VA,Oak Hill Academy,12 (2018), 13.5 Pts, 5.9 Reb, 1.6 Ast,
kentucky,Reid Travis,22,SR,F,6-8,238,Minneapolis, MN,DeLaSalle HS,35 (2014), 11.2 Pts, 7.2 Reb, 0.9 Ast,
kentucky,Ashton Hagans,2,FR,G,6-3,192,Cartersville, GA,Newton HS,14 (2018), 7.7 Pts, 2.6 Reb, 4.3 Ast,
kentucky,Immanuel Quickley,5,FR,G,6-3,185,Havre De Grace, MD,The John Carroll School,23 (2018), 5.2 Pts, 1.8 Reb, 1.2 Ast,
kentucky,Nick Richards,4,SO,F,6-11,244,Kingston, Jamaica,The Patrick School,18 (2017), 4.0 Pts, 3.3 Reb, 0.2 Ast,
kentucky,EJ Montgomery,23,FR,F,6-10,225,Fort Pierce, FL,Wheeler HS,10 (2018), 3.8 Pts, 4.1 Reb, 0.4 Ast,
kentucky,Quade Green,0,SO,G,6-0,170,Philadelphia, PA,Neumann-Goretti High School,23 (2017), 8.0 Pts, 1.3 Reb, 2.3 Ast,
kentucky,Jemarl Baker Jr.,13,FR,G,6-4,192,Menifee, CA,Eleanor Roosevelt HS,72 (2017), 2.3 Pts, 0.5 Reb, 0.4 Ast,
kentucky,Jonny David,10,SR,G,6-2,188,Pittsburgh, PA,Mt. Lebanon HS,, 0.0 Pts, 0.1 Reb, 0.0 Ast,
kentucky,Brad Calipari,12,JR,G,6-0,179,Franklin Lakes, NJ,MacDuffie School,,,
kentucky,Zan Payne,21,FR,G,6-4,240,Lexington, KY,Lexington Catholic HS,,,
michigan,Ignas Brazdeikis,13,FR,F,6-7,215,Mono, Canada,Orangeville Prep,74 (2018), 14.8 Pts, 5.4 Reb, 0.8 Ast,
michigan,Jordan Poole,2,SO,G,6-5,195,Milwaukee, WI,La Lumiere School,99 (2017), 12.8 Pts, 3.0 Reb, 2.2 Ast,
michigan,Charles Matthews,1,SR,G,6-6,205,Chicago, IL,St. rita HS,50 (2015), 12.2 Pts, 5.0 Reb, 1.4 Ast,
michigan,Jon Teske,15,JR,C,7-1,260,Medina, OH,Medina High School,, 9.5 Pts, 7.0 Reb, 0.9 Ast,
michigan,Zavier Simpson,3,JR,G,6-0,190,Lima, OH,Lima Senior High School,54 (2016), 8.8 Pts, 5.0 Reb, 6.6 Ast,
michigan,Isaiah Livers,4,SO,F,6-7,235,Kalamazoo, MI,Kalamazoo Central High School,, 7.9 Pts, 3.9 Reb, 0.7 Ast,
michigan,Eli Brooks,55,SO,G,6-1,185,Spring Grove, PA,Spring Grove High School,, 2.5 Pts, 1.2 Reb, 1.1 Ast,
michigan,Austin Davis,51,JR,F,6-10,245,Onsted, MI,Onsted High School,, 1.0 Pts, 0.8 Reb, 0.1 Ast,
michigan,Brandon Johns Jr,23,FR,F,6-8,225,East Lansing, MI,East Lansing HS,67 (2018), 0.8 Pts, 1.0 Reb, 0.0 Ast,
michigan,Colin Castleton,11,FR,F,6-11,210,Daytona Beach, FL,Father Lopez Catholic HS,100 (2018), 1.1 Pts, 1.1 Reb, 0.1 Ast,
michigan,David Dejulius,0,FR,G,6-0,190,Detroit, MI,East English Village HS,, 0.6 Pts, 0.5 Reb, 0.2 Ast,
michigan,C.J. Baird,24,SO,F,6-5,220,Novi, MI,Detroit Catholic Central High School,, 0.7 Pts, 0.2 Reb, 0.0 Ast,
michigan,Adrien Nunez,5,FR,G,6-6,205,Brooklyn, NY,St. Thomas More Prep,, 0.2 Pts, 0.3 Reb, 0.0 Ast,
michigan,Rico Ozuna-Harrison,14,SO,G,5-11,170,Detroit, MI,Cass Technical High School,, 0.0 Pts, 0.0 Reb, 0.0 Ast,
michigan,Luke Wilson,32,SO,G,6-0,170,Boulder, CO,Boulder High School,, 0.0 Pts, 0.2 Reb, 0.0 Ast,
michigan,Jaron Faulds,44,SO,F,6-10,225,Holt, MI,Holt High School,,,
houston,Corey Davis Jr.,5,SR,G,6-1,190,Lafayette, LA,Lafayette High School,, 17.0 Pts, 3.3 Reb, 2.8 Ast,
houston,Armoni Brooks,3,JR,G,6-3,195,Round Rock, TX,McNeill High School,, 13.4 Pts, 6.3 Reb, 0.9 Ast,
houston,Galen Robinson Jr.,25,SR,G,6-1,190,Houston, TX,Westbury HS,, 8.0 Pts, 3.1 Reb, 4.9 Ast,
houston,Nate Hinton,11,FR,G,6-5,210,Gastonia, NC,Gaston Day School,, 7.2 Pts, 4.4 Reb, 1.2 Ast,
houston,Dejon Jarreau,13,SO,G,6-5,185,New Orleans, LA,McDonogh No. 35 High School,55 (2016), 8.7 Pts, 3.8 Reb, 3.3 Ast,
houston,Breaon Brady,24,SR,F,6-8,260,Akron, OH,Ellet High School,, 6.0 Pts, 4.0 Reb, 0.4 Ast,
houston,Fabian White Jr.,35,SO,F,6-7,230,Atascocita, TX,Atascocita High School,, 6.3 Pts, 4.0 Reb, 0.7 Ast,
houston,Cedrick Alley Jr,23,FR,F,6-5,230,Houston, TX,Klein Forest High School,, 4.6 Pts, 2.9 Reb, 0.7 Ast,
